,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,58,management,married,tertiary,False,2143,yes,False,unknown,5,may,261,1,-1,0,unknown,False
1,44,technician,single,secondary,False,29,yes,False,unknown,5,may,151,1,-1,0,unknown,False
2,33,entrepreneur,married,secondary,False,2,yes,True,unknown,5,may,76,1,-1,0,unknown,False
3,47,blue-collar,married,unknown,False,1506,yes,False,unknown,5,may,92,1,-1,0,unknown,False
4,33,unknown,single,unknown,False,1,no,False,unknown,5,may,198,1,-1,0,unknown,False
5,35,management,married,tertiary,False,231,yes,False,unknown,5,may,139,1,-1,0,unknown,False
6,28,management,single,tertiary,False,447,yes,True,unknown,5,may,217,1,-1,0,unknown,False
7,42,entrepreneur,divorced,tertiary,True,2,yes,False,unknown,5,may,380,1,-1,0,unknown,False
8,58,retired,married,primary,False,121,yes,False,unknown,5,may,50,1,-1,0,unknown,False
9,43,technician,single,secondary,False,593,yes,False,unknown,5,may,55,1,-1,0,unknown,False
10,41,administrative,divorced,secondary,False,270,yes,False,unknown,5,may,222,1,-1,0,unknown,False
11,29,administrative,single,secondary,False,390,yes,False,unknown,5,may,137,1,-1,0,unknown,False
12,53,technician,married,secondary,False,6,yes,False,unknown,5,may,-517,1,-1,0,unknown,False
13,58,technician,married,unknown,False,71,yes,False,unknown,5,may,71,1,-1,0,unknown,False
14,57,services,married,secondary,False,162,yes,False,unknown,5,may,174,1,-1,0,unknown,False
15,51,retired,married,primary,False,229,yes,False,unknown,5,may,353,1,-1,0,unknown,False
16,45,administrative,single,unknown,False,13,yes,False,unknown,5,may,98,1,-1,0,unknown,False
17,57,blue-collar,married,primary,False,52,yes,False,unknown,5,may,38,1,-1,0,unknown,False
18,60,retired,married,primary,False,60,yes,False,unknown,5,may,219,1,-1,0,unknown,False
19,33,services,married,secondary,False,0,yes,False,unknown,5,may,54,1,-1,0,unknown,False
20,28,blue-collar,married,secondary,False,723,yes,True,unknown,5,may,262,1,-1,0,unknown,False
21,56,management,married,tertiary,False,779,yes,False,unknown,5,may,164,1,-1,0,unknown,False
22,32,blue-collar,single,primary,False,23,yes,True,unknown,5,may,160,1,-1,0,unknown,False
23,25,services,married,secondary,False,50,yes,False,unknown,5,may,342,1,-1,0,unknown,False
24,40,retired,married,primary,False,0,yes,True,unknown,5,may,181,1,-1,0,unknown,False
25,44,administrative,married,secondary,False,-372,yes,False,unknown,5,may,172,1,-1,0,unknown,False
26,39,management,single,tertiary,False,255,yes,False,unknown,5,may,296,1,-1,0,unknown,False
27,52,entrepreneur,married,secondary,False,113,yes,True,unknown,5,may,127,1,-1,0,unknown,False
28,46,management,single,secondary,False,-246,yes,False,unknown,5,may,255,2,-1,0,unknown,False
29,36,technician,single,secondary,False,265,yes,True,unknown,5,may,348,1,-1,0,unknown,False
30,57,technician,married,secondary,False,839,no,True,unknown,5,may,225,1,-1,0,unknown,False
31,49,management,married,tertiary,False,378,yes,False,unknown,5,may,230,1,-1,0,unknown,False
32,60,administrative,married,secondary,False,39,yes,True,unknown,5,may,208,1,-1,0,unknown,False
33,59,blue-collar,married,secondary,False,0,yes,False,unknown,5,may,226,1,-1,0,unknown,False
34,51,management,married,tertiary,False,10635,yes,False,unknown,5,may,336,1,-1,0,unknown,False
35,57,technician,divorced,secondary,False,63,yes,False,unknown,5,may,242,1,-1,0,unknown,False
36,25,blue-collar,married,secondary,False,-7,yes,False,unknown,5,may,365,1,-1,0,unknown,False
37,53,technician,married,secondary,False,-3,no,False,unknown,5,may,1666,1,-1,0,unknown,False
38,36,administrative,divorced,secondary,False,506,yes,False,unknown,5,may,577,1,-1,0,unknown,False
